iter,shift,sse,delta_sse,stop_shift,stop_sse,converged
1,304924.7242362058,1.0310006052335954E15,,false,false,false
2,80094.48112421643,2.4023384623851853E14,7.907667589950769E14,false,false,false
3,50961.042232257765,1.6435754687528234E14,7.587629936323619E13,false,false,false
4,39694.799767656106,1.376485375100688E14,2.6709009365213547E13,false,false,false
5,29552.85189274101,1.2356453476019712E14,1.4084002749871672E13,false,false,false
6,22060.454033340615,1.1588541552336298E14,7.679119236834141E12,false,false,false
7,17130.799073324197,1.1156784157790797E14,4.3175739454550156E12,false,false,false
8,13591.229762232211,1.0891525269013219E14,2.6525888877757812E12,false,false,false
9,10392.777898269833,1.0732650135282619E14,1.588751337306E12,false,false,false
10,7820.852154895205,1.063959535126165E14,9.305478402096875E11,false,false,false
11,6373.8008810901765,1.0584911051751403E14,5.4684299510246875E11,false,false,false
12,4403.94029972699,1.05510195825413E14,3.3891469210103125E11,false,false,false
13,3171.89133950237,1.0535486164719397E14,1.5533417821903125E11,false,false,false
14,2271.4374713071193,1.0527085832392923E14,8.400332326473438E10,false,false,false
15,1185.9094907885774,1.052317101420345E14,3.9148181894734375E10,false,false,false
16,792.3622659886843,1.0521959843425088E14,1.2111707783625E10,false,false,false
17,593.5103235498517,1.0521382538047944E14,5.7730537714375E9,false,false,false
18,345.7182203262476,1.0521082501257681E14,3.000367902625E9,false,false,false
19,99.75240124570854,1.0521000560341494E14,8.19409161875E8,false,false,false
20,50.97738313596732,1.0520991282182619E14,9.278158875E7,false,false,false
21,50.337286225051,1.0520989080382898E14,2.2017997203125E7,false,false,false
22,0.0,1.052098743271132E14,1.647671578125E7,true,false,true
