iter,shift,sse,delta_sse,stop_shift,stop_sse,converged
1,120757.79739775565,2.3005837833638184E14,,false,false,false
2,52386.799970875385,1.2106416662609683E14,1.0899421171028502E14,false,false,false
3,42494.76571855919,9.607435605014622E13,2.498981057595061E13,false,false,false
4,34865.36626412087,8.129718109431956E13,1.4777174955826656E13,false,false,false
5,25535.146540879803,7.236467104426156E13,8.932510050058E12,false,false,false
6,21830.326275593034,6.685773996064528E13,5.506931083616281E12,false,false,false
7,18013.86593763843,6.290298664332497E13,3.9547533173203125E12,false,false,false
8,15698.087265471786,6.0022207637855234E13,2.8807790054697344E12,false,false,false
9,12460.267322240239,5.7833773798045E13,2.1884338398102344E12,false,false,false
10,10696.318271925873,5.626498575521012E13,1.5687880428348828E12,false,false,false
11,10098.848484546246,5.504502887866166E13,1.219956876548461E12,false,false,false
12,8865.990548014714,5.407324800810769E13,9.717808705539688E11,false,false,false
13,9049.748329406277,5.32317854970959E13,8.414625110117891E11,false,false,false
14,8733.450286543823,5.241001997987225E13,8.217655172236484E11,false,false,false
15,7817.86590929453,5.17026462090273E13,7.073737708449531E11,false,false,false
16,6102.110354225971,5.117687045963944E13,5.257757493878594E11,false,false,false
17,5452.258825904558,5.0817161849161195E13,3.597086104782422E11,false,false,false
18,4985.075366253086,5.054254444983996E13,2.7461739932123438E11,false,false,false
19,5010.995668532593,5.0306184805960516E13,2.363596438794453E11,false,false,false
20,4016.36018208137,5.010752908889996E13,1.986557170605547E11,false,false,false
21,3222.204702434806,4.997552420789101E13,1.3200488100895312E11,false,false,false
22,2538.177745076844,4.988089455246169E13,9.462965542932031E10,false,false,false
23,2238.675440677769,4.980561839629464E13,7.527615616704688E10,false,false,false
24,2279.4978284478507,4.974327615435262E13,6.234224194202344E10,false,false,false
25,2136.597666977821,4.968265588823118E13,6.06202661214375E10,false,false,false
26,2170.681120970354,4.963454341193618E13,4.8112476295E10,false,false,false
27,1627.4999968510144,4.959556152495316E13,3.898188698302344E10,false,false,false
28,1277.6443309663214,4.957108885046721E13,2.4472674485945312E10,false,false,false
29,1382.8471084474172,4.955215292255631E13,1.8935927910898438E10,false,false,false
30,1384.0298550932491,4.953106069631774E13,2.1092226238570312E10,false,false,false
