timestamp,label,time_ms,time_s,success
2026-03-02T01:03:53.000,exp_k3_r10_early,20577,20.577,1
2026-03-02T01:04:11.000,exp_k3_r10_opt_centers,15580,15.580,1
2026-03-02T01:04:58.000,exp_k3_r30_early,44146,44.146,1
2026-03-02T01:05:44.000,exp_k3_r30_opt_centers,42810,42.810,1
2026-03-02T01:06:00.000,exp_k5_r10_early,13457,13.457,1
2026-03-02T01:06:18.000,exp_k5_r10_opt_centers,15014,15.014,1
2026-03-02T01:07:02.000,exp_k5_r30_early,41477,41.477,1
2026-03-02T01:07:45.000,exp_k5_r30_opt_centers,40680,40.680,1
2026-03-02T01:08:02.000,exp_k8_r10_early,12609,12.609,1
2026-03-02T01:08:19.000,exp_k8_r10_opt_centers,14585,14.585,1
2026-03-02T01:09:01.000,exp_k8_r30_early,39033,39.033,1
2026-03-02T01:09:43.000,exp_k8_r30_opt_centers,39415,39.415,1
2026-03-02T01:10:51.000,exp_early_k5_r50_eps50,64789,64.789,1
