run,k,r,mode,converged,rounds_executed,final_sse,runtime_s
k3_r10_early,3,10,EARLY,false,10,1.0781363621304919E14,14
k3_r10_opt,3,10,OPT_CENTERS,false,10,1.0781363621304919E14,16
k3_r30_early,3,30,EARLY,false,30,1.0521009629128655E14,37
k3_r30_opt,3,30,OPT_CENTERS,false,30,1.0521009629128655E14,38
k5_r10_early,5,10,EARLY,false,10,7.547827321728953E13,15
k5_r10_opt,5,10,OPT_CENTERS,false,10,7.547827321728953E13,14
k5_r30_early,5,30,EARLY,false,30,4.955383891488106E13,38
k5_r30_opt,5,30,OPT_CENTERS,false,30,4.955383891488106E13,37
k8_r10_early,8,10,EARLY,false,10,7.248462649866867E13,14
k8_r10_opt,8,10,OPT_CENTERS,false,10,7.248462649866867E13,12
k8_r30_early,,30,,,,,9
k8_r30_opt,8,30,OPT_CENTERS,false,30,3.9472669039166805E13,38
k3_r10_early,3,10,EARLY,false,10,1.0781363621304919E14,14
k3_r10_opt,3,10,OPT_CENTERS,false,10,1.0781363621304919E14,16
k3_r30_early,3,30,EARLY,false,30,1.0521009629128655E14,37
k3_r30_opt,3,30,OPT_CENTERS,false,30,1.0521009629128655E14,38
k5_r10_early,5,10,EARLY,false,10,7.547827321728953E13,15
k5_r10_opt,5,10,OPT_CENTERS,false,10,7.547827321728953E13,14
k5_r30_early,5,30,EARLY,false,30,4.955383891488106E13,38
k5_r30_opt,5,30,OPT_CENTERS,false,30,4.955383891488106E13,37
k8_r10_early,8,10,EARLY,false,10,7.248462649866867E13,14
k8_r10_opt,8,10,OPT_CENTERS,false,10,7.248462649866867E13,12
k8_r30_early,8,30,EARLY,false,30,3.9472669039166805E13,37
k8_r30_opt,8,30,OPT_CENTERS,false,30,3.9472669039166805E13,38
